Opportunity ID,Opportunity Name,Entity Owning Equipment,Site Name,Channel Partner,Date Created,Date Closed (Forecast),Date Closed (Actual),Opportunity Value,Bid Currency,Opportunity State,Current Pipeline Stage,Expected Revenue,Date of Last Activity,Date of Next Activity,Probability,State Reason,Won,Trial?,Opportunity Product Quantity,Pricebook Name,Opportunity Owner,Product Family,Archived Field - Product Type ,Product ID,Organization Name,Owner Name,Channel Type,GAP Strategy,GAP Current State,Invoice Number,Purchase Order
35936610,Finning Cat 777 Mag-Shield,Finning Canada,,MagShield Pty Ltd,2022-12-07 16:41:36,2023-05-25 00:00:00,2023-06-05 00:00:00,10448.0,CAD,WON,Following-up PO,10448.0,2024-12-19 21:46:09,2023-07-20 02:00:00,100,,TRUE,FALSE,1.0,,2198544;Jorge Infanta,,Mag-Shield,,Finning Canada,Jorge Infanta,End User,,,B101923,7154371
35936612,NACG 785 Mag-Shield,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:41:51,2023-07-27 00:00:00,2023-07-17 00:00:00,9146.0,CAD,WON,Negotiating Proposal,9146.0,2024-12-19 21:46:20,2023-08-31 02:00:00,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101976,746526AC
35936652,NACG 785C Mag-Shield Kit,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:45:56,2022-12-09 00:00:00,2023-01-13 00:00:00,9185.0,CAD,LOST,Presenting Proposal,9185.0,2023-01-13 17:36:03,,0,,FALSE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,,
35936725,NACG 785C Mag-Shield Kit,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:54:32,2023-01-26 00:00:00,2023-01-11 00:00:00,9146.0,CAD,WON,Negotiating Proposal,9146.0,2025-09-15 20:48:24,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101769,700929AC
35936727,NACG 789C Mag-Shield Kit,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:54:50,2023-02-23 00:00:00,2023-02-15 00:00:00,9146.0,CAD,WON,Negotiating Proposal,9146.0,2025-09-15 20:48:33,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101802,710488AC
35936729,NACG 789C Mag-Shield Kit,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:55:04,2023-03-09 00:00:00,2023-02-24 00:00:00,9146.0,CAD,WON,Qualifying Opportunity,9146.0,2025-09-15 20:48:39,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101815,712966AC
35936732,NACG D11T Mag-Shield Kit,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:55:19,2023-05-25 00:00:00,2023-05-02 00:00:00,12880.0,CAD,WON,Following-up PO,12880.0,2025-09-15 20:53:29,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101887,729416AC
35936734,NACG 785C Mag-Shield Kit,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:55:33,2023-07-19 00:00:00,2023-05-18 00:00:00,9146.0,CAD,WON,Following-up PO,9146.0,2025-09-15 20:53:30,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101916,733735AC
35936736,NACG 785C Mag-Shield Kit,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:55:46,2023-08-25 00:00:00,2023-06-07 00:00:00,9146.0,CAD,WON,Following-up PO,9146.0,2025-09-15 20:53:34,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101928,738018AC
35936739,NACG 785C Mag-Shield Kit,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:56:06,2023-06-23 00:00:00,2023-06-21 00:00:00,9146.0,CAD,WON,Following-up PO,9146.0,2024-12-19 21:46:28,2023-08-05 18:00:00,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101944,741065AC
35936741,NACG 785C Mag-Shield Kit,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:56:24,2023-08-24 00:00:00,2023-08-08 00:00:00,9146.0,CAD,WON,Following-up PO,9146.0,2025-09-15 20:48:50,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101995,750066AC
35936751,NACG Cat 797 Mag-Shield,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:57:48,2023-06-07 00:00:00,2023-06-06 00:00:00,17740.0,CAD,WON,Following-up PO,17740.0,2025-09-15 20:53:36,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101925,737715AC
35936752,NACG Cat 777 Mag-Shield,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:58:04,2023-08-11 00:00:00,2023-08-18 00:00:00,11432.0,CAD,WON,Following-up PO,11432.0,2025-09-15 20:48:54,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B102014,753211AC
